slots,handler,retail_address,audit_class,source_kind,source_path,source_line,native_generated_stub,native_authored_stub,direct_generated_stub_calls,direct_authored_stub_calls,mips_comparison,retail_size,current_size,relocation_checks,source_conditionals,source_markers,detail
56,func_80093014,0x80093014,PORT_OVERRIDE_UNPROVEN,c,src/field/main/misc11.c,605,False,False,,,size_mismatch,484,480,0,ifdef XENO_PC_PORT,,native conditional body replaces retail fallback; current=480 retail=484
57,func_80099214,0x80099214,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,758,False,False,,,size_mismatch,1900,1796,0,,,matching comparison: size_mismatch; current=1796 retail=1900
58,func_80094918,0x80094918,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1278,False,False,,,match,324,324,28,,,normalized instructions and relocation targets match
59,func_8009F4CC,0x8009F4CC,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,652,False,False,,,match,220,220,15,,,normalized instructions and relocation targets match
5A,func_8009524C,0x8009524C,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1519,False,False,,,match,56,56,3,,,normalized instructions and relocation targets match
5B,func_80095284,0x80095284,C_NONMATCHING_UNPROVEN,c,src/field/main/misc11.c,1531,False,False,,,size_mismatch,124,120,0,,,matching comparison: size_mismatch; current=120 retail=124
5C,func_800A0228,0x800A0228,C_NONMATCHING_UNPROVEN,c,src/field/main/misc6.c,1083,False,False,,,size_mismatch,764,644,0,,,matching comparison: size_mismatch; current=644 retail=764
5D,func_8009A174,0x8009A174,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1203,False,False,,,match,56,56,3,,,normalized instructions and relocation targets match
5E,func_8009A1AC,0x8009A1AC,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1208,False,False,,,match,56,56,2,,,normalized instructions and relocation targets match
5F,func_8009AD6C,0x8009AD6C,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1548,False,False,,,match,112,112,10,,,normalized instructions and relocation targets match
60,FieldScriptResetCameraTargetMovement,0x8008FDD0,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,164,False,False,,,match,92,92,18,,,normalized instructions and relocation targets match
61,FieldScriptSetCameraTargetMovementFrom,0x8008FE2C,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,172,False,False,,,match,216,216,27,,,normalized instructions and relocation targets match
62,FieldScriptSetCameraTargetMovementDestToActor,0x8008FF04,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,181,False,False,,,match,140,140,15,,,normalized instructions and relocation targets match
63,FieldScriptSetCameraTargetMovementDest,0x8008FF90,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,190,False,False,,,match,216,216,27,,,normalized instructions and relocation targets match
64,FieldScriptResetCameraPosMovement,0x80090068,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,199,False,False,,,match,92,92,18,,,normalized instructions and relocation targets match
65,FieldScriptSetCameraPosMovementFrom,0x800900C4,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,207,False,False,,,match,216,216,27,,,normalized instructions and relocation targets match
66,FieldScriptSetCameraPosMovementDestToActor,0x8009019C,RETAIL_MIPS_MATCH,c,src/field/camera/camera_movement.c,215,False,False,,,match,140,140,15,,,normalized instructions and relocation targets match
67,FieldScriptSetActorDirection,0x8009ABFC,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1508,False,False,,,match,56,56,4,,,normalized instructions and relocation targets match
68,func_8009AC34,0x8009AC34,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1514,False,False,,,match,72,72,6,,,normalized instructions and relocation targets match
69,FieldScriptVMHandlerSetCurActorRotation,0x8009AC7C,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1521,False,False,,,match,56,56,4,,,normalized instructions and relocation targets match
6A,func_8009ACB4,0x8009ACB4,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1526,False,False,,,match,56,56,4,,,normalized instructions and relocation targets match
6B,FieldScriptRotateActorClockwise,0x8009AB5C,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1493,False,False,,,match,80,80,5,,,normalized instructions and relocation targets match
6C,FieldScriptRotateActorCounterClockwise,0x8009ABAC,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1501,False,False,,,match,80,80,5,,,normalized instructions and relocation targets match
6D,FieldScriptCos,0x8009A6AC,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1347,False,False,,,match,188,188,15,,,normalized instructions and relocation targets match
6E,FieldScriptSin,0x8009A768,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1361,False,False,,,match,188,188,15,,,normalized instructions and relocation targets match
6F,func_8009A2A8,0x8009A2A8,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1243,False,False,,,match,164,164,10,,,normalized instructions and relocation targets match
70,func_8009A1E4,0x8009A1E4,C_NONMATCHING_UNPROVEN,c,src/field/main/misc7.c,1217,False,False,,,size_mismatch,196,200,0,,,matching comparison: size_mismatch; current=200 retail=196
71,func_80093568,0x80093568,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,797,False,False,,,match,252,252,34,,,normalized instructions and relocation targets match
72,func_8008F724,0x8008F724,RETAIL_MIPS_MATCH,c,src/field/main/misc.c,3158,False,False,,,match,72,72,8,,,normalized instructions and relocation targets match
73,func_80086C34,0x80086C34,C_NONMATCHING_UNPROVEN,c,src/field/main/misc8.c,3451,False,False,,,size_mismatch,280,268,0,,,matching comparison: size_mismatch; current=268 retail=280
74,func_8008F668,0x8008F668,RETAIL_MIPS_MATCH,c,src/field/main/misc.c,3138,False,False,,,match,68,68,4,,,normalized instructions and relocation targets match
75,func_8008F76C,0x8008F76C,RETAIL_MIPS_MATCH,c,src/field/main/misc.c,3167,False,False,,,match,76,76,8,,,normalized instructions and relocation targets match
76,func_80093A68,0x80093A68,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,930,False,False,,,match,48,48,4,,,normalized instructions and relocation targets match
77,func_80093A98,0x80093A98,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,935,False,False,,,match,48,48,4,,,normalized instructions and relocation targets match
78,func_800973A4,0x800973A4,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,48,False,False,,,match,108,108,8,,,normalized instructions and relocation targets match
79,FieldScriptVMHandlerRestoreHp,0x80097264,RETAIL_MIPS_MATCH,c,src/field/party/stats.c,187,False,False,,,match,72,72,4,,,normalized instructions and relocation targets match
7A,FieldScriptVMHandlerRestoreMp,0x800972AC,RETAIL_MIPS_MATCH,c,src/field/party/stats.c,195,False,False,,,match,72,72,4,,,normalized instructions and relocation targets match
7B,FieldScriptVMHandlerDecreasePartyHp,0x800969FC,RETAIL_MIPS_MATCH,c,src/field/party/stats.c,43,False,False,,,match,248,248,16,,,normalized instructions and relocation targets match
7C,FieldScriptVMHandlerIncreasePartyMp,0x80096F18,RETAIL_MIPS_MATCH,c,src/field/party/stats.c,127,False,False,,,match,248,248,16,,,normalized instructions and relocation targets match
7D,FieldScriptVMHandlerDecreasePartyMp,0x80097010,RETAIL_MIPS_MATCH,c,src/field/party/stats.c,144,False,False,,,match,248,248,16,,,normalized instructions and relocation targets match
7E,func_80097108,0x80097108,C_NONMATCHING_UNPROVEN,c,src/field/party/stats.c,165,False,False,,,size_mismatch,248,252,0,,,matching comparison: size_mismatch; current=252 retail=248
7F,func_80095300,0x80095300,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1552,False,False,,,match,60,60,5,,,normalized instructions and relocation targets match
80,func_80092664,0x80092664,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,336,False,False,,,match,100,100,8,,,normalized instructions and relocation targets match
81,func_800926C8,0x800926C8,C_NONMATCHING_UNPROVEN,c,src/field/main/misc11.c,341,False,False,,,code_mismatch,160,160,5,,,matching comparison: code_mismatch; relative=0x38 current=34040003 retail=00408021 mask=ffffffff
82,func_80093664,0x80093664,C_NONMATCHING_UNPROVEN,c,src/field/main/misc11.c,813,False,False,,,code_mismatch,128,128,7,,,matching comparison: code_mismatch; relative=0x4c current=3205ffff retail=02002821 mask=ffffffff
83,func_80092768,0x80092768,C_NONMATCHING_UNPROVEN,c,src/field/main/misc11.c,348,False,False,,,code_mismatch,160,160,5,,,matching comparison: code_mismatch; relative=0x38 current=34040003 retail=00408021 mask=ffffffff
84,FieldScriptCheckScenarioFlagsLessThan,0x80096644,RETAIL_MIPS_MATCH,c,src/field/game_logic/scenario_flags.c,5,False,False,,,match,112,112,8,,,normalized instructions and relocation targets match
85,FieldScriptCheckScenarioFlagsGreaterThan,0x800966B4,RETAIL_MIPS_MATCH,c,src/field/game_logic/scenario_flags.c,18,False,False,,,match,112,112,8,,,normalized instructions and relocation targets match
86,FieldScriptCheckScenarioFlagsEqual,0x80096724,RETAIL_MIPS_MATCH,c,src/field/game_logic/scenario_flags.c,31,False,False,,,match,108,108,8,,,normalized instructions and relocation targets match
87,FieldScriptSetScenarioFlags,0x80096790,RETAIL_MIPS_MATCH,c,src/field/game_logic/scenario_flags.c,44,False,False,,,match,88,88,8,,,normalized instructions and relocation targets match
88,FieldScriptGetScenarioFlags,0x800967E8,RETAIL_MIPS_MATCH,c,src/field/game_logic/scenario_flags.c,53,False,False,,,match,92,92,5,,,normalized instructions and relocation targets match
89,FieldScriptCheckActorDistance,0x80095E48,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1814,False,False,,,match,220,220,14,,,normalized instructions and relocation targets match
8A,FieldScriptCheckActorOnScreen,0x80095C00,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1759,False,False,,,match,196,196,14,,,normalized instructions and relocation targets match
8B,func_800962C0,0x800962C0,RETAIL_MIPS_MATCH,c,src/field/main/misc10.c,28,False,False,,,match,92,92,8,,,normalized instructions and relocation targets match
8C,func_8009631C,0x8009631C,RETAIL_MIPS_MATCH,c,src/field/main/misc10.c,36,False,False,,,match,64,64,4,,,normalized instructions and relocation targets match
8D,func_8009640C,0x8009640C,C_NONMATCHING_UNPROVEN,c,src/field/main/misc10.c,63,False,False,,,size_mismatch,164,148,0,,,matching comparison: size_mismatch; current=148 retail=164
8E,FieldScriptCheckGoldAmount,0x80095F24,RETAIL_MIPS_MATCH,c,src/field/game_logic/gold.c,8,False,False,,,match,148,148,10,,,normalized instructions and relocation targets match
8F,FieldScriptIncreaseGold,0x80095FB8,RETAIL_MIPS_MATCH,c,src/field/game_logic/gold.c,21,False,False,,,match,100,100,5,,,normalized instructions and relocation targets match
90,FieldScriptDecreaseGold,0x8009601C,RETAIL_MIPS_MATCH,c,src/field/game_logic/gold.c,34,False,False,,,match,92,92,5,,,normalized instructions and relocation targets match
91,FieldScriptCheckPartyMember,0x800964B0,RETAIL_MIPS_MATCH,c,src/field/main/misc10.c,79,False,False,,,match,132,132,10,,,normalized instructions and relocation targets match
92,func_800A19B0,0x800A19B0,RETAIL_MIPS_MATCH,c,src/field/scripts/virtual_machine.c,81,False,False,,,match,220,220,12,,,normalized instructions and relocation targets match
93,func_800A1364,0x800A1364,RETAIL_MIPS_MATCH,c,src/field/main/misc6.c,1534,False,False,,,match,396,396,33,,,normalized instructions and relocation targets match
94,func_800945D4,0x800945D4,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1206,False,False,,,match,124,124,9,,,normalized instructions and relocation targets match
95,func_80094650,0x80094650,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1216,False,False,,,match,60,60,6,,,normalized instructions and relocation targets match
96,func_8009468C,0x8009468C,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,1221,False,False,,,match,48,48,6,,,normalized instructions and relocation targets match
97,FieldScriptSetDollySet,0x8009A634,RETAIL_MIPS_MATCH,c,src/field/main/misc7.c,1337,False,False,,,match,60,60,5,,,normalized instructions and relocation targets match
98,func_800932D0,0x800932D0,RETAIL_MIPS_MATCH,c,src/field/main/misc11.c,729,False,False,,,match,296,296,32,,,normalized instructions and relocation targets match
